,0,1,2,3,4,_tempm,6,7,datetime_utc
131,0.633333333,0.337166172,0.344086022,0.976190476,0.714285714,0.3,0,0,16-08-1999 14.30
132,0.533333333,0.110163205,0.387096774,0.981601732,0.595238095,0.25,0.527777778,0.181818182,17-08-1999 5.30
133,0.533333333,0.357195846,0.23655914,0.980519481,0.761904762,0.5,0.083333333,0.137592138,19-08-1999 8.30
134,0.533333333,0.170252225,0.333333333,0.976190476,0.642857143,0.3,0.444444444,0.137592138,24-08-1999 18.30
135,0.666666667,0.170252225,0.516129032,0.976190476,0.595238095,0.3,0.666666667,0.272727273,26-08-1999 1.30
136,0.7,0.510756676,0.322580645,0.975108225,0.785714286,0.6,0.805555556,0.137592138,26-08-1999 11.30
137,0.633333333,0.223664688,0.419354839,0.980519481,0.642857143,0.4,0.888888889,0.090909091,30-08-1999 3.30
138,0.633333333,0.257047478,0.387096774,0.981601732,0.666666667,0.5,0.916666667,0.272727273,30-08-1999 4.30
139,0.733333333,0.293768546,0.516129032,0.978354978,0.642857143,0.5,0.861111111,0.228501229,05-09-1999 8.30
140,0.766666667,0.146884273,0.720430108,0.979437229,0.547619048,0.12,0,0,08-09-1999 2.30
141,0.666666667,0.056750742,0.623655914,0.979437229,0.523809524,0.2,0.333333333,0.363636364,10-09-1999 8.30
142,0.733333333,0.173590504,0.634408602,0.978354978,0.571428571,0.3,0,0,14-09-1999 19.30
143,0.633333333,0.417284866,0.301075269,0.981601732,0.761904762,0.5,0.916666667,0.319410319,21-09-1999 7.30
144,0.7,0.230341246,0.516129032,0.981601732,0.619047619,0.3,0.444444444,0.181818182,23-09-1999 12.30
145,0.766666667,0.367210682,0.516129032,0.983766234,0.666666667,0.4,0.75,0.137592138,25-09-1999 5.30
146,0.766666667,0.196958457,0.677419355,0.979437229,0.571428571,0.25,0,0.137592138,25-09-1999 23.30
147,0.733333333,0.080118694,0.720430108,0.982683983,0.523809524,0.2,0,0,07-10-1999 22.30
148,0.5,0.060089021,0.47311828,0.987012987,0.5,0.18,0,0,14-10-1999 15.30
149,0.466666667,0.039105553,0.494623656,0.984848485,0.452380952,0.13,0,0,16-10-1999 18.30
150,0.366666667,0.147106825,0.204301075,0.982683983,0.666666667,0.45,0.361111111,0.228501229,31-10-1999 8.30
151,0.466666667,0.03115727,0.462365591,0.988095238,0.476190476,0.14,0.277777778,0.228501229,05-11-1999 15.30
152,0.166666667,0.04957479,0.182795699,0.988095238,0.523809524,0.4,0.805555556,0.228501229,08-11-1999 11.30
153,0.2,0.049770575,0.258064516,0.989177489,0.452380952,0.22,0,0,08-11-1999 13.30
154,0.233333333,0.060342974,0.204301075,0.991341991,0.547619048,0.4,0.916666667,0.272727273,13-11-1999 6.30
155,0.266666667,0.075026861,0.419354839,0.99025974,0.357142857,0.1,0,0,19-11-1999 17.30
156,0.233333333,0.076201572,0.225806452,0.992424242,0.523809524,0.3,0.666666667,0.137592138,20-11-1999 6.30
157,0.233333333,0.086284508,0.387096774,0.99025974,0.357142857,0.22,0,0,24-11-1999 15.30
158,0.2,0.090983352,0.559139785,0.989177489,0.214285714,0.15,0.583333333,0.137592138,26-11-1999 22.30
159,0.366666667,0.105569347,0.430107527,0.994588745,0.428571429,0.15,0.222222222,0.137592138,04-12-1999 6.30
160,0.233333333,0.142376958,0.860215054,0.993506494,0.095238095,0.07,0,0,22-12-1999 1.30
161,0.233333333,0.170080559,0.924731183,0.99025974,0.071428571,0.020909091,0,0,03-01-2000 23.30
162,0.233333333,0.17732461,1,0.993506494,0.047619048,0.03,0,0,07-01-2000 4.30
163,0.333333333,0.178401428,1,0.991341991,0.119047619,0.03,0,0,07-01-2000 15.30
164,0.3,0.191910605,0.935483871,0.988095238,0.119047619,0.1375,0.722222222,0.181818182,14-01-2000 2.30
